Rows: 1000, Columns: 1000
Too many cells to display.
Number of tripods: 5000
Optimal placement:
1: location: (999,318), direction: NORTH, sum: 27
2: location: (998,813), direction: WEST, sum: 27
3: location: (998,364), direction: NORTH, sum: 27
4: location: (997,782), direction: SOUTH, sum: 27
5: location: (997,749), direction: NORTH, sum: 27
6: location: (997,344), direction: NORTH, sum: 27
7: location: (997,322), direction: WEST, sum: 27
8: location: (996,835), direction: NORTH, sum: 27
9: location: (996,800), direction: SOUTH, sum: 27
10: location: (996,786), direction: WEST, sum: 27
11: location: (996,718), direction: NORTH, sum: 27
12: location: (996,315), direction: EAST, sum: 27
13: location: (995,877), direction: EAST, sum: 27
14: location: (995,801), direction: EAST, sum: 27
15: location: (995,719), direction: WEST, sum: 27
16: location: (995,643), direction: NORTH, sum: 27
17: location: (995,307), direction: NORTH, sum: 27
18: location: (994,861), direction: EAST, sum: 27
19: location: (994,644), direction: WEST, sum: 27
20: location: (994,257), direction: EAST, sum: 27
21: location: (993,888), direction: EAST, sum: 27
22: location: (993,550), direction: WEST, sum: 27
23: location: (993,540), direction: SOUTH, sum: 27
24: location: (993,390), direction: NORTH, sum: 27
25: location: (992,650), direction: WEST, sum: 27
26: location: (992,317), direction: SOUTH, sum: 27
27: location: (991,921), direction: WEST, sum: 27
28: location: (991,712), direction: EAST, sum: 27
29: location: (991,528), direction: NORTH, sum: 27
30: location: (990,709), direction: WEST, sum: 27
31: location: (990,528), direction: EAST, sum: 27
32: location: (990,363), direction: NORTH, sum: 27
33: location: (990,181), direction: NORTH, sum: 27
34: location: (989,892), direction: SOUTH, sum: 27
35: location: (989,708), direction: EAST, sum: 27
36: location: (989,362), direction: SOUTH, sum: 27
37: location: (989,361), direction: SOUTH, sum: 27
38: location: (988,771), direction: SOUTH, sum: 27
39: location: (988,709), direction: NORTH, sum: 27
40: location: (988,707), direction: NORTH, sum: 27
41: location: (988,69), direction: NORTH, sum: 27
42: location: (987,882), direction: WEST, sum: 27
43: location: (987,782), direction: NORTH, sum: 27
44: location: (987,722), direction: WEST, sum: 27
45: location: (987,708), direction: SOUTH, sum: 27
46: location: (987,561), direction: WEST, sum: 27
47: location: (987,80), direction: EAST, sum: 27
48: location: (987,39), direction: WEST, sum: 27
49: location: (986,761), direction: NORTH, sum: 27
50: location: (986,727), direction: WEST, sum: 27
51: location: (986,210), direction: SOUTH, sum: 27
52: location: (986,200), direction: WEST, sum: 27
53: location: (986,90), direction: WEST, sum: 27
54: location: (985,870), direction: WEST, sum: 27
55: location: (985,726), direction: EAST, sum: 27
56: location: (985,199), direction: SOUTH, sum: 27
57: location: (985,173), direction: SOUTH, sum: 27
58: location: (985,89), direction: NORTH, sum: 27
59: location: (984,987), direction: WEST, sum: 27
60: location: (984,869), direction: SOUTH, sum: 27
61: location: (984,579), direction: NORTH, sum: 27
62: location: (984,12), direction: NORTH, sum: 27
63: location: (983,742), direction: SOUTH, sum: 27
64: location: (983,147), direction: SOUTH, sum: 27
65: location: (982,764), direction: WEST, sum: 27
66: location: (982,736), direction: NORTH, sum: 27
67: location: (982,525), direction: SOUTH, sum: 27
68: location: (982,296), direction: WEST, sum: 27
69: location: (982,208), direction: NORTH, sum: 27
70: location: (981,735), direction: EAST, sum: 27
71: location: (981,448), direction: EAST, sum: 27
72: location: (981,234), direction: NORTH, sum: 27
73: location: (980,908), direction: SOUTH, sum: 27
74: location: (980,736), direction: WEST, sum: 27
75: location: (980,693), direction: NORTH, sum: 27
76: location: (980,497), direction: EAST, sum: 27
77: location: (980,359), direction: NORTH, sum: 27
78: location: (980,260), direction: NORTH, sum: 27
79: location: (979,598), direction: EAST, sum: 27
80: location: (979,265), direction: EAST, sum: 27
81: location: (979,261), direction: SOUTH, sum: 27
82: location: (978,936), direction: WEST, sum: 27
83: location: (978,790), direction: SOUTH, sum: 27
84: location: (978,307), direction: SOUTH, sum: 27
85: location: (978,169), direction: SOUTH, sum: 27
86: location: (978,58), direction: SOUTH, sum: 27
87: location: (977,869), direction: SOUTH, sum: 27
88: location: (976,947), direction: SOUTH, sum: 27
89: location: (976,848), direction: NORTH, sum: 27
90: location: (976,751), direction: SOUTH, sum: 27
91: location: (976,139), direction: NORTH, sum: 27
92: location: (974,745), direction: EAST, sum: 27
93: location: (974,422), direction: EAST, sum: 27
94: location: (974,152), direction: NORTH, sum: 27
95: location: (973,967), direction: EAST, sum: 27
96: location: (973,927), direction: SOUTH, sum: 27
97: location: (973,876), direction: EAST, sum: 27
98: location: (973,613), direction: WEST, sum: 27
99: location: (973,423), direction: SOUTH, sum: 27
100: location: (973,151), direction: SOUTH, sum: 27
101: location: (972,724), direction: SOUTH, sum: 27
102: location: (972,182), direction: WEST, sum: 27
103: location: (971,896), direction: NORTH, sum: 27
104: location: (971,689), direction: NORTH, sum: 27
105: location: (971,173), direction: NORTH, sum: 27
106: location: (970,949), direction: WEST, sum: 27
107: location: (970,895), direction: SOUTH, sum: 27
108: location: (970,690), direction: WEST, sum: 27
109: location: (970,536), direction: EAST, sum: 27
110: location: (968,869), direction: SOUTH, sum: 27
111: location: (968,353), direction: WEST, sum: 27
112: location: (968,287), direction: NORTH, sum: 27
113: location: (967,933), direction: SOUTH, sum: 27
114: location: (967,928), direction: WEST, sum: 27
115: location: (967,793), direction: WEST, sum: 27
116: location: (967,127), direction: WEST, sum: 27
117: location: (967,5), direction: NORTH, sum: 27
118: location: (966,895), direction: EAST, sum: 27
119: location: (966,499), direction: SOUTH, sum: 27
120: location: (966,460), direction: WEST, sum: 27
121: location: (966,435), direction: SOUTH, sum: 27
122: location: (966,363), direction: NORTH, sum: 27
123: location: (966,126), direction: EAST, sum: 27
124: location: (966,4), direction: SOUTH, sum: 27
125: location: (965,867), direction: NORTH, sum: 27
126: location: (965,414), direction: EAST, sum: 27
127: location: (965,385), direction: WEST, sum: 27
128: location: (964,751), direction: NORTH, sum: 27
129: location: (964,555), direction: NORTH, sum: 27
130: location: (964,225), direction: EAST, sum: 27
131: location: (963,710), direction: WEST, sum: 27
132: location: (963,423), direction: SOUTH, sum: 27
133: location: (963,342), direction: SOUTH, sum: 27
134: location: (962,919), direction: SOUTH, sum: 27
135: location: (962,853), direction: WEST, sum: 27
136: location: (962,631), direction: EAST, sum: 27
137: location: (962,492), direction: EAST, sum: 27
138: location: (962,347), direction: NORTH, sum: 27
139: location: (962,271), direction: SOUTH, sum: 27
140: location: (961,709), direction: SOUTH, sum: 27
141: location: (961,379), direction: SOUTH, sum: 27
142: location: (961,358), direction: SOUTH, sum: 27
143: location: (961,115), direction: WEST, sum: 27
144: location: (961,102), direction: NORTH, sum: 27
145: location: (960,803), direction: EAST, sum: 27
146: location: (959,867), direction: EAST, sum: 27
147: location: (959,804), direction: SOUTH, sum: 27
148: location: (959,510), direction: EAST, sum: 27
149: location: (958,883), direction: SOUTH, sum: 27
150: location: (958,289), direction: SOUTH, sum: 27
151: location: (958,221), direction: NORTH, sum: 27
152: location: (958,89), direction: WEST, sum: 27
153: location: (958,27), direction: NORTH, sum: 27
154: location: (957,895), direction: EAST, sum: 27
155: location: (957,142), direction: SOUTH, sum: 27
156: location: (956,823), direction: EAST, sum: 27
157: location: (956,717), direction: WEST, sum: 27
158: location: (956,74), direction: SOUTH, sum: 27
159: location: (955,777), direction: SOUTH, sum: 27
160: location: (955,621), direction: NORTH, sum: 27
161: location: (955,527), direction: EAST, sum: 27
162: location: (955,301), direction: NORTH, sum: 27
163: location: (954,869), direction: SOUTH, sum: 27
164: location: (954,781), direction: SOUTH, sum: 27
165: location: (954,622), direction: WEST, sum: 27
166: location: (954,561), direction: NORTH, sum: 27
167: location: (953,621), direction: EAST, sum: 27
168: location: (952,916), direction: EAST, sum: 27
169: location: (952,642), direction: WEST, sum: 27
170: location: (952,540), direction: SOUTH, sum: 27
171: location: (951,776), direction: WEST, sum: 27
172: location: (951,267), direction: SOUTH, sum: 27
173: location: (951,97), direction: EAST, sum: 27
174: location: (951,24), direction: WEST, sum: 27
175: location: (950,921), direction: WEST, sum: 27
176: location: (950,750), direction: SOUTH, sum: 27
177: location: (950,713), direction: EAST, sum: 27
178: location: (950,23), direction: SOUTH, sum: 27
179: location: (949,940), direction: WEST, sum: 27
180: location: (948,901), direction: SOUTH, sum: 27
181: location: (948,664), direction: WEST, sum: 27
182: location: (948,557), direction: NORTH, sum: 27
183: location: (948,501), direction: EAST, sum: 27
184: location: (947,607), direction: NORTH, sum: 27
185: location: (947,558), direction: WEST, sum: 27
186: location: (947,556), direction: SOUTH, sum: 27
187: location: (947,521), direction: SOUTH, sum: 27
188: location: (947,346), direction: EAST, sum: 27
189: location: (946,781), direction: EAST, sum: 27
190: location: (946,347), direction: WEST, sum: 27
191: location: (945,714), direction: NORTH, sum: 27
192: location: (945,380), direction: EAST, sum: 27
